Scheme Name       : start_scheme
Scheme lnL        : -23172911.1529
Scheme AICc       : 46388725.7469
Number of params  : 20870
Number of sites   : 769646
Number of subsets : 3102

Subset | Best Model | Subset Partitions              | Subset Sites                   | Alignment                               
15     | JTT+G      | EOG091E01BB                    | 2799-3100                      | ./analysis/phylofiles/fd7ceac8b5b942888fff23f74fa46f03.phy
16     | LG+G+F     | EOG091E03RI                    | 3101-3226                      | ./analysis/phylofiles/a47ef5e64178f649b8300a7cc9db3f81.phy
17     | LG+G+F     | EOG091E00AO                    | 3227-4008                      | ./analysis/phylofiles/27819bbd987512c587b6265846800f13.phy
18     | LG+G       | EOG091E012R                    | 4009-4079                      | ./analysis/phylofiles/7ea985f895e5def4c29742ca47f97b38.phy
19     | JTT+G+F    | EOG091E00N3                    | 4080-4399                      | ./analysis/phylofiles/3856886e424215fe27bf53f630611196.phy
20     | LG+G       | EOG091E025T                    | 4400-4626                      | ./analysis/phylofiles/868f70f02ed55cb2a1f561cf5a7d3035.phy
21     | LG+G       | EOG091E00KU                    | 4627-4835                      | ./analysis/phylofiles/eaeb0f87d4563f3b84b32ffd20fe3abe.phy
22     | LG+G+F     | EOG091E02SB                    | 4836-5131                      | ./analysis/phylofiles/cfd3a2345be0d73a43edbe479aba80e1.phy
23     | LG+G       | EOG091E00H4                    | 5132-6012                      | ./analysis/phylofiles/527604821e49a8e2323ca97de332a8ac.phy
24     | LG+G       | EOG091E024R                    | 6013-6114                      | ./analysis/phylofiles/60086d6e0e4c315fc4ab17db534cb7d1.phy
25     | LG+G+F     | EOG091E02EV                    | 6115-6439                      | ./analysis/phylofiles/e68807acf5162835f2e8b779d04a507b.phy
26     | LG+G       | EOG091E04WY                    | 6440-6703                      | ./analysis/phylofiles/c371848c73f2b9b5b910a2609e9c1744.phy
27     | LG+I+G+F   | EOG091E00JX                    | 6704-7259                      | ./analysis/phylofiles/1a5df8217f276d668bc31fdaed7b4add.phy
28     | LG+I+G     | EOG091E059S                    | 7260-7459                      | ./analysis/phylofiles/fd1134ed1818cce528b6c1f33d342536.phy
29     | LG+I+G     | EOG091E03YG                    | 7460-7525                      | ./analysis/phylofiles/17e908e0525b22917d7b48d584f59dad.phy
30     | LG+I+G     | EOG091E01CK                    | 7526-7949                      | ./analysis/phylofiles/1c80db81824e48322412b3dff9cbf105.phy
31     | LG+I+G+F   | EOG091E026G                    | 7950-8169                      | ./analysis/phylofiles/402b1c920739d7b667326bcc2a65936a.phy
32     | LG+I+G+F   | EOG091E02J7                    | 8170-8408                      | ./analysis/phylofiles/c19a1aa82bf691d5121c2cd2d143ff8d.phy
33     | LG+G+F     | EOG091E01DP                    | 8409-8926                      | ./analysis/phylofiles/14b8e2eb3a536d50c63b388892f1d176.phy
34     | LG+I+G     | EOG091E059A                    | 8927-9093                      | ./analysis/phylofiles/96ce9a907d93ff47f5e309fa40d4ad2c.phy
35     | LG+G+F     | EOG091E03X0                    | 9094-9187                      | ./analysis/phylofiles/c00abe702d600f8483cdd01606130257.phy
36     | LG+I+G     | EOG091E03N4                    | 9188-9331                      | ./analysis/phylofiles/f82b327eec699bf1971e293d75b8e2f1.phy
37     | LG+G       | EOG091E05HX                    | 9332-9431                      | ./analysis/phylofiles/1af2f742c8a05dd394f9d3e1511cd249.phy
38     | LG+G+F     | EOG091E01I6                    | 9432-9831                      | ./analysis/phylofiles/f8117a4270340654cb2f4450df4937db.phy
39     | LG+G       | EOG091E0306                    | 9832-9976                      | ./analysis/phylofiles/f620569065f29021f0d0927ddcda9f2b.phy
40     | LG+G       | EOG091E03DB                    | 9977-10125                     | ./analysis/phylofiles/30e3a2a17a25b3072d02d2607baf9cfe.phy
41     | LG+G       | EOG091E02HJ                    | 10126-10279                    | ./analysis/phylofiles/0ca693e664d0ee21c865b6473aa0d393.phy
42     | LG+G       | EOG091E00UZ                    | 10280-11101                    | ./analysis/phylofiles/e355584298347293ab86b49d88ba0343.phy
43     | BLOSUM62+I+G | EOG091E04KH                    | 11102-11264                    | ./analysis/phylofiles/183dccfe310807db8f8cbbca98765952.phy
44     | JTT+I+G+F  | EOG091E03JP                    | 11265-11567                    | ./analysis/phylofiles/5c02a58336deacdb2a4e0943591252c7.phy
45     | JTT+I+G+F  | EOG091E04YD                    | 11568-11708                    | ./analysis/phylofiles/a8aa4f1aa1e5105baf587f77d755233f.phy
46     | LG+I+G     | EOG091E03UQ                    | 11709-11828                    | ./analysis/phylofiles/afc4225c5804b295107f255f706db9a8.phy
47     | LG+G       | EOG091E04QC                    | 11829-11919                    | ./analysis/phylofiles/0ef69b99c796c2993953d0711ac50c5d.phy
48     | LG+I+G     | EOG091E01ZY                    | 11920-12292                    | ./analysis/phylofiles/9531a833bf1c5158df37015afecb6f9b.phy
49     | LG+G+F     | EOG091E04II                    | 12293-12537                    | ./analysis/phylofiles/6c67b7ac5dcf51eeb79b9ab9147ae44b.phy
50     | LG+G+F     | EOG091E01XM                    | 12538-12794                    | ./analysis/phylofiles/712aeb2f3c7a5dd85518986473fa849f.phy
51     | LG+I+G     | EOG091E03UM                    | 12795-12901                    | ./analysis/phylofiles/5f4a4c8eac387f8dbe482d9082dd66de.phy
52     | LG+G       | EOG091E027F                    | 12902-13088                    | ./analysis/phylofiles/ed66d5a7b47661d1b6e2a2db714b432d.phy
53     | LG+G       | EOG091E03PI                    | 13089-13251                    | ./analysis/phylofiles/730aeb159b71b31227535e39c96ab8bc.phy
54     | LG+G       | EOG091E02FI                    | 13252-13459                    | ./analysis/phylofiles/09282cb75a56b86c72b4e9a09458cac4.phy
55     | LG+I+G     | EOG091E031I                    | 13460-13584                    | ./analysis/phylofiles/7daf11d458764296993398e66e3a94b4.phy
56     | LG+G       | EOG091E00KP                    | 13585-13789                    | ./analysis/phylofiles/3f7cb8a15f1c604ad11f65321f0cd421.phy
57     | LG+I+G     | EOG091E04UG                    | 13790-14316                    | ./analysis/phylofiles/d68afedf65a6435088bfd24e19178d87.phy
58     | JTT+G      | EOG091E03LY                    | 14317-14429                    | ./analysis/phylofiles/d76e8ca24da42d77c810a056fb6b7523.phy
59     | DAYHOFF+I+G | EOG091E02EI                    | 14430-14599                    | ./analysis/phylofiles/fef9bb31a1f9cefef183f36670d7706e.phy
60     | LG+G+F     | EOG091E02RY                    | 14600-14748                    | ./analysis/phylofiles/7d34a8b6116216b4f88c1ad5cca54ab0.phy
61     | LG+G       | EOG091E02ED                    | 14749-14985                    | ./analysis/phylofiles/f17ee95e6cb99434fe94fe7eb8256314.phy
62     | JTT+G      | EOG091E00YA                    | 14986-15124                    | ./analysis/phylofiles/5daeff48aa485a0cd0ec1eede5ec7123.phy
63     | LG+I+G     | EOG091E038X                    | 15125-15269                    | ./analysis/phylofiles/91ce7b33355eca3cfb1307215dbb4196.phy
64     | LG+I+G+F   | EOG091E01CX                    | 15270-15641                    | ./analysis/phylofiles/5e64286f6a4f782c834aac4104364902.phy
65     | LG+G+F     | EOG091E05H2                    | 15642-15786                    | ./analysis/phylofiles/c62e8e5c6de0ab1cb2fd6dd58bbe4201.phy
66     | LG+I+G     | EOG091E04ZQ                    | 15787-16111                    | ./analysis/phylofiles/f46bc589a10d46e86efe20ad617a6f10.phy
67     | LG+I+G     | EOG091E0388                    | 16112-16286                    | ./analysis/phylofiles/7f6d10f2db7d8e8a06ed054e2bf78527.phy
68     | JTT+I+G    | EOG091E01DO                    | 16287-16618                    | ./analysis/phylofiles/f8ad892c548843a9cd3f4143383869d9.phy
69     | LG+G       | EOG091E026Z                    | 16619-16890                    | ./analysis/phylofiles/20c038e3eaf490ec0a05413abce17953.phy
70     | LG+G+F     | EOG091E00B4                    | 16891-17190                    | ./analysis/phylofiles/a7129bad6be29890d6863b6ae91f9c14.phy
71     | JTT+G+F    | EOG091E009D                    | 17191-17937                    | ./analysis/phylofiles/b0258257ee72a67d4a6b511a9f464be7.phy
72     | DAYHOFF+G+F | EOG091E02IN                    | 17938-18252                    | ./analysis/phylofiles/ff1db75fecbd92d750f1bd9e835487ea.phy
73     | LG+G       | EOG091E00QS                    | 18253-18837                    | ./analysis/phylofiles/d23acef67941d096ad388ba3b247a12a.phy
74     | JTT+G+F    | EOG091E037K                    | 18838-18968                    | ./analysis/phylofiles/b6e7404e95ac1f378ed01ac57907e39e.phy
75     | LG+I+G     | EOG091E03VP                    | 18969-19091                    | ./analysis/phylofiles/c440d545e0d9fac13445d17f9c63ec79.phy
76     | WAG+I+G    | EOG091E04K1                    | 19092-19326                    | ./analysis/phylofiles/b2af49925dafadbfb7cfafba613dd9aa.phy
77     | JTT+G      | EOG091E013J                    | 19327-19662                    | ./analysis/phylofiles/f8afd17b9656dc6502b928a0f9c5bfeb.phy
78     | LG+G       | EOG091E05GW                    | 19663-19915                    | ./analysis/phylofiles/4d4e78225284d14c9799118b78cc2f8f.phy
79     | JTT+G      | EOG091E015K                    | 19916-20165                    | ./analysis/phylofiles/9a536c665879789d25c37cd31897301d.phy
80     | LG+G       | EOG091E01RQ                    | 20166-20514                    | ./analysis/phylofiles/0f152db646cc6f71fbc2e6f76afe690e.phy
81     | LG+I+G     | EOG091E0241                    | 20515-20789                    | ./analysis/phylofiles/69685b6d2619ba383f6d501c4f724520.phy
82     | JTT+G      | EOG091E02MP                    | 20790-20970                    | ./analysis/phylofiles/08e5ee93d90bf0af67c9664e1ba78624.phy
83     | LG+I+G     | EOG091E01H2                    | 20971-21317                    | ./analysis/phylofiles/241eb3321db0ddb6854a28195b811d03.phy
84     | LG+G       | EOG091E03JW                    | 21318-21424                    | ./analysis/phylofiles/868b5c0ebfcd0e3186028b39a9e72041.phy
85     | LG+I+G     | EOG091E02NY                    | 21425-21696                    | ./analysis/phylofiles/24723685f1077e439f1aa2a3eb46d538.phy
86     | LG+G       | EOG091E031X                    | 21697-21804                    | ./analysis/phylofiles/580e02758b14a773eb83e7f4fa2d3ae5.phy
87     | JTT+G      | EOG091E027S                    | 21805-21974                    | ./analysis/phylofiles/757811a606a99a564942aa2e17fb56fe.phy
88     | LG+G+F     | EOG091E041I                    | 21975-22257                    | ./analysis/phylofiles/bc4ddc964162cad09ca475266c4e4dd6.phy
89     | LG+G       | EOG091E017B                    | 22258-22623                    | ./analysis/phylofiles/af869973f4f7e2c09aa52a6645f7cc0c.phy
90     | VT+G       | EOG091E05AZ                    | 22624-22775                    | ./analysis/phylofiles/b22d0314a7fb00b9954671823fdad441.phy
91     | LG+G       | EOG091E04O0                    | 22776-23207                    | ./analysis/phylofiles/cd101c2e75e23780941d4887f7d503f0.phy
92     | LG+G+F     | EOG091E02FV                    | 23208-23498                    | ./analysis/phylofiles/dc59d35129f297d74a397b41871ec06f.phy
93     | LG+I+G+F   | EOG091E05FL                    | 23499-23727                    | ./analysis/phylofiles/08c03eded2df8a43987cc25520cd58db.phy
94     | LG+G       | EOG091E06O2                    | 23728-23773                    | ./analysis/phylofiles/581abc96d0676032a7f523e7eeec9617.phy
95     | LG+G       | EOG091E0384                    | 23774-23998                    | ./analysis/phylofiles/675eadf3c1dec0e9b16f4afdeccf75d0.phy
96     | LG+G       | EOG091E01VS                    | 23999-24317                    | ./analysis/phylofiles/21482ca49c95120fab5374e958919bac.phy
97     | LG+I+G     | EOG091E00WZ                    | 24318-24835                    | ./analysis/phylofiles/1278ed7bda9b1d429e27fa30e1133056.phy
98     | LG+G       | EOG091E00LN                    | 24836-24977                    | ./analysis/phylofiles/d1b49c3975b44fa87c73125648dbeeb5.phy
99     | LG+I+G     | EOG091E00LO                    | 24978-25407                    | ./analysis/phylofiles/42c37a4d5200dfb1d11a8d0e5b5c385a.phy
100    | LG+G       | EOG091E04TQ                    | 25408-25707                    | ./analysis/phylofiles/385f900445064416717d565acab13d30.phy
101    | LG+I+G     | EOG091E00B3                    | 25708-26039                    | ./analysis/phylofiles/58a4c9fdca9ce607f03ac6d79275f4f1.phy
102    | LG+I+G     | EOG091E02Z1                    | 26040-26226                    | ./analysis/phylofiles/6b20fc27f28c6f98c100566537a40e2c.phy
103    | LG+I+G     | EOG091E00YV                    | 26227-26558                    | ./analysis/phylofiles/cfe5f5e5243447a98e1ea276d7323a38.phy
104    | LG+G       | EOG091E03BB                    | 26559-26684                    | ./analysis/phylofiles/705caba5b929e4e8ca7127b16a73eb1b.phy
105    | LG+G       | EOG091E01DX                    | 26685-26999                    | ./analysis/phylofiles/1d03018fb588607479bea00e7f9bb9b6.phy
106    | LG+G       | EOG091E01C5                    | 27000-27452                    | ./analysis/phylofiles/401ca4ffce53dc5ea8f45aefc77f98c3.phy
107    | JTT+G      | EOG091E00J7                    | 27453-27744                    | ./analysis/phylofiles/81d277b7d612d133014507d37c0e27fa.phy
108    | LG+I+G     | EOG091E00Z6                    | 27745-28202                    | ./analysis/phylofiles/40882fbc1e1e3fb290caea19b6df45b9.phy
109    | JTT+I+G    | EOG091E01ZW                    | 28203-28589                    | ./analysis/phylofiles/02ed8fdb9098934d4e80d2633281b38d.phy
110    | LG+G       | EOG091E04CS                    | 28590-28976                    | ./analysis/phylofiles/3d9988df0a8e8565b6c58de67be1ffff.phy
111    | LG+G       | EOG091E03WX                    | 28977-29027                    | ./analysis/phylofiles/6c6c3e9c1d01131a915ba9aa13b125e1.phy
112    | LG+I+G     | EOG091E01F8                    | 29028-29418                    | ./analysis/phylofiles/8dca588f4b4263df2f8033513fb5f3f5.phy
113    | JTT+G      | EOG091E03OX                    | 29419-29537                    | ./analysis/phylofiles/7468f4b5773e2a8c42c74e5435c12371.phy
114    | LG+I+G     | EOG091E02LZ                    | 29538-29825                    | ./analysis/phylofiles/8752d96f55d872065ef0f6e0966cb2c1.phy
115    | LG+G       | EOG091E034I                    | 29826-29930                    | ./analysis/phylofiles/11b41ec3581154d6964a78abae9e92e1.phy
116    | LG+G+F     | EOG091E04Y1                    | 29931-30098                    | ./analysis/phylofiles/b788107b5d9d2b498349d59fbbcba891.phy
117    | JTT+G      | EOG091E04F1                    | 30099-30386                    | ./analysis/phylofiles/c1ee0c29aa3273c6380a44a3a85669af.phy
118    | LG+G       | EOG091E01SU                    | 30387-30583                    | ./analysis/phylofiles/d76adb310dcb355f796761ee0d85179d.phy
119    | LG+I+G     | EOG091E012K                    | 30584-31002                    | ./analysis/phylofiles/94eacb8af2c661c621a5c7b857d370bd.phy
120    | LG+I+G+F   | EOG091E010D                    | 31003-31429                    | ./analysis/phylofiles/d893b48a188522a00232896c3967d3ba.phy
121    | LG+I+G     | EOG091E05F2                    | 31430-31683                    | ./analysis/phylofiles/e002af497a53bf424715e249c68f8b03.phy
122    | LG+G       | EOG091E03CE                    | 31684-31797                    | ./analysis/phylofiles/4d693c72e0caac6214ee813d18de962b.phy
123    | LG+G       | EOG091E042S                    | 31798-32039                    | ./analysis/phylofiles/1cdcf428079e58855081f6e50e7abc5b.phy
124    | LG+G       | EOG091E025Z                    | 32040-32239                    | ./analysis/phylofiles/b9c0c27c262a3efab79f9651e175c584.phy
125    | LG+G       | EOG091E02NB                    | 32240-32459                    | ./analysis/phylofiles/a5c7e265468d37ae61882a1ab1298735.phy
126    | JTT+G      | EOG091E03Q9                    | 32460-32617                    | ./analysis/phylofiles/1b5b3204be0f7891d10f5b6ee2a66235.phy
127    | LG+G       | EOG091E04DI                    | 32618-32911                    | ./analysis/phylofiles/1f214bb4d67f3c3d2b1d0882b7d2bf80.phy
128    | LG+G+F     | EOG091E022P                    | 32912-33047                    | ./analysis/phylofiles/e3817ddd27250f74638c4cecfdf46020.phy
129    | LG+I+G     | EOG091E02T2                    | 33048-33222                    | ./analysis/phylofiles/3cfba0e55b09c39e4d8a2d567e239f1b.phy
130    | WAG+G      | EOG091E02B5                    | 33223-33293                    | ./analysis/phylofiles/2555387f9118fac5785b2592d143c401.phy
131    | LG+I+G+F   | EOG091E028X                    | 33294-33508                    | ./analysis/phylofiles/f399ef585deffcff196663e50fe2f9ee.phy
132    | LG+G+F     | EOG091E0152                    | 33509-33834                    | ./analysis/phylofiles/dcbbb09316881c130cf58008c74b19a1.phy
133    | LG+I+G     | EOG091E043A                    | 33835-33972                    | ./analysis/phylofiles/e34c3cd5c2915b950e9e22c067e42f56.phy
134    | VT+G       | EOG091E0065                    | 33973-34339                    | ./analysis/phylofiles/c30d7ef5ec162345e85843e18b36e438.phy
135    | JTT+G+F    | EOG091E00AU                    | 34340-35110                    | ./analysis/phylofiles/31521bbbaf438e4c7955692195e0c9f4.phy
136    | JTT+G+F    | EOG091E061B                    | 35111-35253                    | ./analysis/phylofiles/2e41f416e4bf992398ff3ed2fabb9494.phy
137    | LG+I+G     | EOG091E03DT                    | 35254-35468                    | ./analysis/phylofiles/6e2e525e435787d8bb232bcffb9d2176.phy
138    | LG+G       | EOG091E01WH                    | 35469-35724                    | ./analysis/phylofiles/23b43ab094719b12ea372a7aafee4fc9.phy
139    | LG+G       | EOG091E01F4                    | 35725-36006                    | ./analysis/phylofiles/4170f77986caf3e2177cb3818903b0b6.phy
140    | LG+G+F     | EOG091E01Z3                    | 36007-36414                    | ./analysis/phylofiles/67f7c48bee7be387603a43562bcb7ed8.phy
141    | JTT+G      | EOG091E01WB                    | 36415-36747                    | ./analysis/phylofiles/d928b67e15f90fab94f8c74ad5d59e57.phy
142    | LG+G       | EOG091E00BO                    | 36748-37005                    | ./analysis/phylofiles/21636139cbe40057ce07fceff752eeb6.phy
143    | JTT+G      | EOG091E02FK                    | 37006-37261                    | ./analysis/phylofiles/0cc7a7e0e34941aca44f5fb8a25f0bc2.phy
144    | LG+G       | EOG091E02KC                    | 37262-37499                    | ./analysis/phylofiles/013264739089b3140275a889e87ff611.phy
145    | VT+G       | EOG091E025H                    | 37500-37657                    | ./analysis/phylofiles/092c2ff5fb23b98231ceb6492f40a7fc.phy
146    | LG+G       | EOG091E01F0                    | 37658-37914                    | ./analysis/phylofiles/5e1649341839b8256b866a8cebd5d81b.phy
147    | JTT+G      | EOG091E019T                    | 37915-38352                    | ./analysis/phylofiles/3480427c05223f95c2cf5bd36873337e.phy
148    | WAG+I+G    | EOG091E02R8                    | 38353-38511                    | ./analysis/phylofiles/bf3c8e46a3e2bb3cd5700eb85f86ccd6.phy
149    | LG+G       | EOG091E04RW                    | 38512-38661                    | ./analysis/phylofiles/a084e0e230907e4b1b32b42ed410b4b3.phy
150    | LG+I+G     | EOG091E01GT                    | 38662-38853                    | ./analysis/phylofiles/99dd149fe47b1327c8ea2250e43c2d2f.phy
151    | JTT+G+F    | EOG091E01CE                    | 38854-39281                    | ./analysis/phylofiles/120b6ab35bdd25a27290c5acb0d00b5f.phy
152    | LG+I+G     | EOG091E059X                    | 39282-39476                    | ./analysis/phylofiles/ecfe86a1ad85d87f080d35725a829efd.phy
153    | LG+I+G+F   | EOG091E02P0                    | 39477-39697                    | ./analysis/phylofiles/a6af21bb73d584af1e1fbc26716b9126.phy
154    | LG+I+G+F   | EOG091E019N                    | 39698-40149                    | ./analysis/phylofiles/6d6be7be23efe5d04024080cbf3cc277.phy
155    | LG+I+G     | EOG091E065G                    | 40150-40220                    | ./analysis/phylofiles/ed43f248c0a00576cde29c156f2f6417.phy
156    | CPREV+G    | EOG091E04F3                    | 40221-40288                    | ./analysis/phylofiles/8741acde4d2dc124c34d1f41975818ba.phy
157    | LG+G+F     | EOG091E055T                    | 40289-40523                    | ./analysis/phylofiles/2d245b41bb2b4b0e23850ac1c66bfc32.phy
158    | JTT+G      | EOG091E00SW                    | 40524-40698                    | ./analysis/phylofiles/026ae5cb57a4ad13183ad6bdb135828d.phy
159    | LG+I+G     | EOG091E03D4                    | 40699-40989                    | ./analysis/phylofiles/37c3a90ae2ade0ed1b6b0d7fb7953445.phy
160    | LG+G       | EOG091E05UK                    | 40990-41190                    | ./analysis/phylofiles/09ec6b20a84a06a4a6ebeabdb2664b4a.phy
161    | WAG+I+G    | EOG091E03CQ                    | 41191-41295                    | ./analysis/phylofiles/c73f3ec1b2f5db8f1e867bd049c81c43.phy
162    | VT+G       | EOG091E00LV                    | 41296-41411                    | ./analysis/phylofiles/ec96f3459f3656a9194ec7a6a0e1126e.phy
163    | LG+G+F     | EOG091E03MO                    | 41412-41543                    | ./analysis/phylofiles/9a8ef664a62e26bbdafc5a57e9c3f694.phy
164    | VT+G       | EOG091E05R5                    | 41544-41649                    | ./analysis/phylofiles/d74fdf7392aaf4d5291390fd3e8d4aec.phy
165    | LG+G       | EOG091E04QT                    | 41650-41902                    | ./analysis/phylofiles/18dd6fdf8a21f45ac651d9dae06fb169.phy
166    | LG+G       | EOG091E04H4                    | 41903-42039                    | ./analysis/phylofiles/710d4f13460e78380ffd26ea16992a2a.phy
167    | LG+G       | EOG091E03KT                    | 42040-42192                    | ./analysis/phylofiles/ea5f239e1567c7b9954cf00710b674bf.phy
168    | LG+I+G+F   | EOG091E03GF                    | 42193-42349                    | ./analysis/phylofiles/c08c4c8392502e623244bc4fd0f89f99.phy
169    | LG+G       | EOG091E02NV                    | 42350-42549                    | ./analysis/phylofiles/3efd267fbdaa17ca6ca070ae282c59a6.phy
170    | LG+G       | EOG091E01A1                    | 42550-42931                    | ./analysis/phylofiles/290a3d683f913a31eda85da0c461c68d.phy
171    | LG+G+F     | EOG091E029R                    | 42932-43363                    | ./analysis/phylofiles/c855c1968d6df8abfd458b54b44dcb6d.phy
172    | LG+G+F     | EOG091E01YO                    | 43364-43659                    | ./analysis/phylofiles/4d5582646d303952687a7ee03facb009.phy
173    | BLOSUM62+G | EOG091E04MN                    | 43660-43729                    | ./analysis/phylofiles/06aa3ca44c3b451c1a9b133d46669517.phy
174    | JTT+I+G    | EOG091E00DE                    | 43730-44171                    | ./analysis/phylofiles/6269474c0c2b31f34fa76b33de8a3e9c.phy
175    | JTT+I+G    | EOG091E01ER                    | 44172-44567                    | ./analysis/phylofiles/9d4d1f8e62d65dd5406bee51b41116c4.phy
176    | LG+I+G     | EOG091E03HQ                    | 44568-44728                    | ./analysis/phylofiles/3a3cb5643b0c56ea9f399cb48182cbca.phy
177    | LG+G       | EOG091E01MI                    | 44729-45190                    | ./analysis/phylofiles/8610803a308dbe16e059f9a02f4a7275.phy
178    | LG+I+G     | EOG091E03GU                    | 45191-45300                    | ./analysis/phylofiles/e77bf1116aae302f2dfc3f926371823d.phy
179    | JTT+G      | EOG091E016G                    | 45301-45552                    | ./analysis/phylofiles/f8c2e47409fdb6e5bbc2d36dfe461ed5.phy
180    | LG+G       | EOG091E02RX                    | 45553-45665                    | ./analysis/phylofiles/6f8f896a22e13d3b7868be02e866979b.phy
181    | LG+G+F     | EOG091E03L6                    | 45666-45847                    | ./analysis/phylofiles/6c8c567a1a1897d941638cbd6e62c2e3.phy
182    | LG+I+G+F   | EOG091E01RS                    | 45848-46179                    | ./analysis/phylofiles/034ad5fc1b8a9bbc196dbc5b1242a44a.phy
183    | LG+G       | EOG091E00G6                    | 46180-46830                    | ./analysis/phylofiles/8d2ec40e8b4130865d4a914bbd8acc74.phy
184    | LG+G+F     | EOG091E05RM                    | 46831-47050                    | ./analysis/phylofiles/c882a60e69a107f737ebb0feeba4fb8e.phy
185    | LG+G       | EOG091E02U2                    | 47051-47180                    | ./analysis/phylofiles/70194c24f490989e1fbe28faf95a41ee.phy
186    | LG+I+G+F   | EOG091E01LM                    | 47181-47646                    | ./analysis/phylofiles/c0f41331cd5e7e4d8f7c71775239e0ea.phy
187    | JTT+G      | EOG091E04CQ                    | 47647-47898                    | ./analysis/phylofiles/e5fd134648f903234bed3d0779924de7.phy
188    | JTT+I+G+F  | EOG091E062S                    | 47899-48048                    | ./analysis/phylofiles/7684c09f9f4c43e4d8c9b8c6eb5852a3.phy
189    | JTT+G      | EOG091E0291                    | 48049-48324                    | ./analysis/phylofiles/b49be401eb10565ede0db287388dff54.phy
190    | LG+G       | EOG091E03XQ                    | 48325-48417                    | ./analysis/phylofiles/3d939de2e2f327fdfca40086a03b7946.phy
191    | MTREV+G    | EOG091E00N0                    | 48418-48528                    | ./analysis/phylofiles/67893b7f575c5c96b4d3ddafad372986.phy
192    | LG+I+G     | EOG091E03QV                    | 48529-48654                    | ./analysis/phylofiles/f44772570e969ce2cff4e1030dee3ed2.phy
193    | JTT+G      | EOG091E03TO                    | 48655-48762                    | ./analysis/phylofiles/95453146807a3eb6eb60ed610129abb1.phy
194    | JTT+G      | EOG091E03F9                    | 48763-48873                    | ./analysis/phylofiles/9bcbe4c98aa507d01e8778a17d136b11.phy
195    | LG+G       | EOG091E00YU                    | 48874-49010                    | ./analysis/phylofiles/b4707c81b51707be0c756ab8f4e5c821.phy
196    | JTT+G      | EOG091E020H                    | 49011-49136                    | ./analysis/phylofiles/f063993751bdac48c03f08b85356a5f5.phy
197    | JTT+I+G    | EOG091E02MV                    | 49137-49376                    | ./analysis/phylofiles/13a4787efeafaa7fcd00469a58bc07a2.phy
198    | LG+I+G+F   | EOG091E00RK                    | 49377-49815                    | ./analysis/phylofiles/fe6a7b0d4af5be4db338f7a7256651d9.phy
199    | LG+I+G     | EOG091E03FQ                    | 49816-49945                    | ./analysis/phylofiles/5edbf83a7ec134d156d10e6f1f99261a.phy
200    | LG+G       | EOG091E01UM                    | 49946-50200                    | ./analysis/phylofiles/0e95e31d411c21e710e6236c85625a51.phy
201    | LG+G       | EOG091E01Y2                    | 50201-50552                    | ./analysis/phylofiles/1eb8fa5835efe4b7796793ac1aace2af.phy
202    | JTT+G+F    | EOG091E02ZI                    | 50553-50782                    | ./analysis/phylofiles/692f94a42bb6ffe3467a4f99ed97896b.phy
203    | JTT+I+G    | EOG091E00RO                    | 50783-51185                    | ./analysis/phylofiles/971a64887bacf4213de96d744b18edc4.phy
